Id,Account,Date,Attitude,Text
735983456526565380,@HillaryClinton,Thu May 26 23:58:24 +0000 2016,:),RT @rmiskimens: @msnbc @MarkHalperin @jheil Maybe Weaver doesn't want 2 get into @HillaryClinton emails bc @BernieSanders has his own troub…
735983456052776960,@HillaryClinton,Thu May 26 23:58:24 +0000 2016,:),RT @HillaryClinton: Couldn't agree more. https://t.co/gfk8NWAhIY
735983447064252416,@HillaryClinton,Thu May 26 23:58:22 +0000 2016,:),@HillaryClinton @marcorubio You two are both losers so who cares what you think
735983441540317185,@HillaryClinton,Thu May 26 23:58:21 +0000 2016,:),"RT @France4Hillary: Benghazi isn't a scandal, but a weak GOP attempt to smear @HillaryClinton that failed miserably! #ImWithHer #HillYes ht…"
735983441498517504,@HillaryClinton,Thu May 26 23:58:21 +0000 2016,:),RT @HillaryClinton: A candidate who roots for his own gain at the expense of American families isn't just heartless. He's disqualified. htt…
735983435307585538,@HillaryClinton,Thu May 26 23:58:19 +0000 2016,:),RT @agearan: .@HillaryClinton: Clinton voters will look past concerns over email system  https://t.co/Epub1xHUE7 https://t.co/cb5HocOGFv
735983430949801985,@HillaryClinton,Thu May 26 23:58:18 +0000 2016,:),"@HillaryClinton 👈🏽Always using the same stale tactics!They're going2 throw seniors off a cliff, take UR SS, health care, end abortion...UGH"
735983417578295297,@HillaryClinton,Thu May 26 23:58:15 +0000 2016,:),"RT @HillaryClinton: There’s nothing more important than protecting our kids. If we fail at that, it doesn’t matter what we get right. https…"
735983414902423552,@HillaryClinton,Thu May 26 23:58:14 +0000 2016,:),That sums it up @SpeakerRyan @FoxNews @VanJones68 @cnn @msnbc @HillaryClinton @TheFive @foxandfriends @Lawrence
735983410473115648,@HillaryClinton,Thu May 26 23:58:13 +0000 2016,:),"RT @OManHereWeGo: #DropOutHillary @HillaryClinton ""I've always tried to  tell the truth"" ~ Hillary Clinton  February 2016 https://t.co/GVNa…"
735983409789440001,@HillaryClinton,Thu May 26 23:58:13 +0000 2016,:),RT @BernieCrats1: The DNC finally knows @HillaryClinton is a liability. DO NOT LOSE FAITH. The tipping point is coming #DropOutHillary http…
735983409164492801,@HillaryClinton,Thu May 26 23:58:13 +0000 2016,:),"@MELANIATRUMP says about @HillaryClinton 'it's nothing personal, it's just business! #MakeAmericaGreatAgain #TrumpTrain LOL @FoxNews @greta"
735983408250114048,@HillaryClinton,Thu May 26 23:58:13 +0000 2016,:),@HillaryClinton what about independents who couldn't vote?
735983404945006597,@HillaryClinton,Thu May 26 23:58:12 +0000 2016,:),RT @_Mattingly_: Crowd is getting fired up for @HillaryClinton here in SF. https://t.co/AeG974KOP5
735983401983967232,@HillaryClinton,Thu May 26 23:58:11 +0000 2016,:),"RT @hale_razor: Hey @BernieSanders, *now* do you want to talk about @HillaryClinton's damn emails. https://t.co/y6USm75obP"
